ERR_OK ,0h ,0,"Execution OK, no error. "
ERR_INIT ,1h ,1,An error occurred when initializing the given card. Either the card has already been opened by another process or an hardware error occurred. 
ERR_TYP ,3h ,3,Initialization only: The type of board is unknown. This is a critical error. Please check whether the board is correctly plugged in the slot and whether you have the latest driver version. 
ERR_FNCNOTSUPPORTED ,4h ,4,This function is not supported by the hardware version. 
ERR_BRDREMAP ,5h ,5,The board index re map table in the registry is wrong. Either delete this table or check it carefully for double values. 
ERR_KERNELVERSION ,6h ,6,The version of the kernel driver is not matching the version of the DLL. Please do a complete re-installation of the hard- ware driver. This error normally only occurs if someone copies the driver library and the kernel driver manually. 
ERR_HWDRVVERSION ,7h ,7,The hardware needs a newer driver version to run properly. Please install the driver that was delivered together with the card. 
ERR_ADRRANGE ,8h ,8,"One of the address ranges is disabled (fatal error), can only occur under Linux. "
ERR_INVALIDHANDLE ,9h ,9,The used handle is not valid. 
ERR_BOARDNOTFOUND ,Ah ,10,A card with the given name has not been found. 
ERR_BOARDINUSE ,Bh ,11,A card with given name is already in use by another application. 
ERR_EXPHW64BITADR ,Ch ,12,Express hardware version not able to handle 64 bit addressing -> update needed. 
ERR_FWVERSION ,Dh ,13,Firmware versions of synchronized cards or for this driver do not match -> update needed. 
ERR_SYNCPROTOCOL ,Eh ,14,Synchronization protocol versions of synchronized cards do not match -> update needed 
ERR_LASTERR ,10h ,16,Old error waiting to be read. Please read the full error information before proceeding. The driver is locked until the error information has been read. 
ERR_BOARDINUSE ,11h ,17,Board is already used by another application. It is not possible to use one hardware from two different programs at the same time. 
ERR_ABORT ,20h ,32,Abort of wait function. This return value just tells that the function has been aborted from another thread. The driver library is not locked if this error occurs. 
ERR_BOARDLOCKED ,30h ,48,The card is already in access and therefore locked by another process. It is not possible to access one card through multiple processes. Only one process can access a specific card at the time. 
ERR_DEVICE_MAPPING ,32h ,50,The device is mapped to an invalid device. The device mapping can be accessed via the Control Center. 
ERR_NETWORKSETUP ,40h ,64,The network setup of a digitizerNETBOX has failed. 
ERR_NETWORKTRANSFER ,41h ,65,The network data transfer from/to a digitizerNETBOX has failed. 
ERR_FWPOWERCYCLE ,42h ,66,Power cycle (PC off/on) is needed to update the card's firmware (a simple OS reboot is not sufficient !) 
ERR_NETWORKTIMEOUT ,43h ,67,A network timeout has occurred. 
ERR_BUFFERSIZE ,44h ,68,The buffer size is not sufficient (too small). 
ERR_RESTRICTEDACCESS ,45h ,69,The access to the card has been intentionally restricted. 
ERR_INVALIDPARAM ,46h ,70,An invalid parameter has been used for a certain function. 
ERR_TEMPERATURE ,47h ,71,"The temperature of at least one of the card’s sensors measures a temperature, that is too high for the hardware. "
ERR_REG ,100h ,256,The register is not valid for this type of board. 
ERR_VALUE ,101h ,257,The value for this register is not in a valid range. The allowed values and ranges are listed in the board specific docu- mentation. 
ERR_FEATURE ,102h ,258,Feature (option) is not installed on this board. It’s not possible to access this feature if it’s not installed. 
ERR_SEQUENCE ,103h ,259,Command sequence is not allowed. Please check the manual carefully to see which command sequences are possi- ble. 
ERR_READABORT ,104h ,260,Data read is not allowed after aborting the data acquisition. 
ERR_NOACCESS ,105h ,261,Access to this register is denied. This register is not accessible for users. 
ERR_TIMEOUT ,107h ,263,A timeout occurred while waiting for an interrupt. This error does not lock the driver. 
ERR_CALLTYPE ,108h ,264,The access to the register is only allowed with one 64 bit access but not with the multiplexed 32 bit (high and low double word) version. 
ERR_EXCEEDSINT32 ,109h ,265,"The return value is int32 but the software register exceeds the 32 bit integer range. Use double int32 or int64 accesses instead, to get correct return values. "
ERR_NOWRITEALLOWED ,10Ah ,266,The register that should be written is a read-only register. No write accesses are allowed. 
ERR_SETUP ,10Bh ,267,The programmed setup for the card is not valid. The error register will show you which setting generates the error mes- sage. This error is returned if the card is started or the setup is written. 
ERR_CLOCKNOTLOCKED ,10Ch ,268,Synchronization to external clock failed: no signal connected or signal not stable. Please check external clock or try to use a different sampling clock to make the PLL locking easier. 
ERR_MEMINIT ,10Dh ,269,"On-board memory initialization error. Power cycle the PC and try another PCIe slot (if possible). In case that the error persists, please contact Spectrum support for further assistance. "
ERR_POWERSUPPLY ,10Eh ,270,"On-board power supply error. Power cycle the PC and try another PCIe slot (if possible). In case that the error persists, please contact Spectrum support for further assistance. "
ERR_ADCCOMMUNICA- TION ,10Fh ,271,"Communication with ADC failed.P ower cycle the PC and try another PCIe slot (if possible). In case that the error per- sists, please contact Spectrum support for further assistance. "
ERR_CHANNEL ,110h ,272,The channel number may not be accessed on the board: Either it is not a valid channel number or the channel is not accessible due to the current setup (e.g. Only channel 0 is accessible in interlace mode) 
ERR_NOTIFYSIZE ,111h ,273,"The notify size of the last spcm_dwDefTransfer call is not valid. The notify size must be a multiple of the page size of 4096. For data transfer it may also be a fraction of 4k in the range of 16, 32, 64, 128, 256, 512, 1k or 2k. For ABA and timestamp the notify size can be 2k as a minimum. "
ERR_RUNNING ,120h ,288,"The board is still running, this function is not available now or this register is not accessible now. "
ERR_ADJUST ,130h ,304,Automatic card calibration has reported an error. Please check the card inputs. 
ERR_PRETRIGGERLEN ,140h ,320,The calculated pretrigger size (resulting from the user defined posttrigger values) exceeds the allowed limit. 
ERR_DIRMISMATCH ,141h ,321,The direction of card and memory transfer mismatch. In normal operation mode it is not possible to transfer data from PC memory to card if the card is an acquisition card nor it is possible to transfer data from card to PC memory if the card is a generation card. 
ERR_POSTEXCDSEGMENT ,142h ,322,The posttrigger value exceeds the programmed segment size in multiple recording/ABA mode. A delay of the multiple recording segments is only possible by using the delay trigger! 
ERR_SEGMENTINMEM ,143h ,323,Memsize is not a multiple of segment size when using Multiple Recording/Replay or ABA mode. The programmed segment size must match the programmed memory size. 
ERR_MULTIPLEPW ,144h ,324,Multiple pulsewidth counters used but card only supports one at the time. 
ERR_NOCHANNELPWOR ,145h ,325,The channel pulsewidth on this card can’t be used together with the OR conjunction. Please use the AND conjunction of the channel trigger sources. 
ERR_ANDORMASKOVRLAP ,146h ,326,"Trigger AND mask and OR mask overlap in at least one channel. Each trigger source can only be used either in the AND mask or in the OR mask, no source can be used for both. "
ERR_ANDMASKEDGE ,147h ,327,One channel is activated for trigger detection in the AND mask but has been programmed to a trigger mode using an edge trigger. The AND mask can only work with level trigger modes. 
ERR_ORMASKLEVEL ,148h ,328,One channel is activated for trigger detection in the OR mask but has been programmed to a trigger mode using a level trigger. The OR mask can only work together with edge trigger modes. 
ERR_EDGEPERMOD ,149h ,329,This card is only capable to have one programmed trigger edge for each module that is installed. It is not possible to mix different trigger edges on one module. 
ERR_DOLEVELMINDIFF ,14Ah ,330,The minimum difference between low output level and high output level is not reached. 
ERR_STARHUBENABLE ,14Bh ,331,The card holding the star-hub must be enabled when doing synchronization. 
ERR_PATPWSMALLEDGE ,14Ch ,332,Combination of pattern with pulsewidth smaller and edge is not allowed. 
ERR_XMODESETUP ,14Dh ,333,The chosen setup for (SPCM_X0_MODE .. SPCM_X19_MODE) is not valid. See hardware manual for details. 
ERR_AVRG_LSA ,14Eh ,334,Setup for Average LSA Mode not valid. Check Threshold and Replacement values for chosen AVRGMODE. 
ERR_PCICHECKSUM ,203h ,515,The check sum of the card information has failed. This could be a critical hardware failure. Restart the system and check the connection of the card in the slot. 
ERR_MEMALLOC ,205h ,517,Internal memory allocation failed. Please restart the system and be sure that there is enough free memory. 
ERR_EEPROMLOAD ,206h ,518,Timeout occurred while loading information from the on-board EEProm. This could be a critical hardware failure. Please restart the system and check the PCI connector. 
ERR_CARDNOSUPPORT ,207h ,519,The card that has been found in the system seems to be a valid Spectrum card of a type that is supported by the driver but the driver did not find this special type internally. Please get the latest driver from www.spectrum-instrumentation.com and install this one. 
ERR_CONFIGACCESS ,208h ,520,Internal error occured during config writes or reads. Please contact Spectrum support for further assistance.
